"komentar","label","preprocessedKomentar"
"Waktu ada longsor di daerah kami, polisi datang bantu warga bersihkan puing tanpa nunggu komando","positif","waktu longsor daerah polisi datang bantu warga sih puing tunggu komando"
"Ada polisi yang jadi pembina upacara di sekolah anak saya. Isinya edukatif dan menyenangkan, bukan menakut-nakuti","positif","polisi jadi bina upacara sekolah anak isi edukatif senang bukan takut takut"
"SIM saya hampir habis masa berlaku, dan petugas di Samsat memberi info dengan ramah dan jelas. Pelayanannya bagus","positif","sim hampir habis masa laku tugas samsat beri info ramah jelas layan bagus"
"Saya pernah kehilangan kendaraan, dan meski prosesnya panjang, polisi tetap komunikasi dan akhirnya motor saya ketemu","positif","pernah hilang kendara meski proses panjang polisi tetap komunikasi akhir motor temu"
"Waktu Ramadan kemarin, polisi turun bantu atur lalu lintas pas menjelang buka puasa. Bikin lalu lintas tetap lancar","positif","waktu ramadan kemarin polisi turun bantu atur lalu lintas pas jelang buka puasa bikin lalu lintas tetap lancar"
"Patroli malam di area kost saya sering dilakukan. Kami merasa lebih aman, apalagi untuk para penghuni perempuan","positif","patroli malam area kost sering laku rasa lebih aman huni perempuan"
"Polisi pernah datang ke kosan buat verifikasi laporan kehilangan. Ya biasa aja sih, nggak terlalu banyak tanya","netral","polisi pernah datang kosan buat verifikasi lapor hilang biasa aja sih lalu banyak tanya"
"Lihat polisi bantu dorong mobil mogok di tengah lampu merah. Ya membantu, tapi udah kewajiban juga","netral","lihat polisi bantu dorong mobil mogok tengah lampu merah bantu udah wajib"
"Lalu lintas di kota saya tetap macet meski ada polisi. Mungkin memang volume kendaraan tinggi","netral","lalu lintas kota tetap macet meski polisi mungkin memang volume kendara tinggi"
"Kalau ada kecelakaan, biasanya polisi datang paling cepat kedua setelah warga. Baru mereka atur lalu lintas","netral","kalau celaka biasa polisi datang paling cepat dua warga baru atur lalu lintas"
"Sering dengar nama Kapolri di berita, tapi nggak terlalu ikutin perkembangan kebijakan mereka","netral","sering dengar nama kapolr berita lalu ikut kembang bijak"
"Polisi sering lewat depan rumah malam-malam, mungkin lagi patroli rutin","netral","polisi sering lewat depan rumah malam mungkin patroli rutin"
"Ada pos polisi baru di dekat taman kota, baru tahu setelah lewat beberapa kali","netral","pos polisi baru dekat taman kota baru beri lewat beberapa kali"
"Saya lihat ada polisi yang bantu arahkan kendaraan saat hujan deras. Ya wajar aja sih, tugasnya begitu","netral","lihat polisi bantu arah kendara hujan deras wajar aja sih tugas"
"Waktu antri SIM, polisi yang jaga cuma kasih arahan singkat. Nggak ramah, tapi juga nggak kasar","netral","waktu antri sim polisi jaga cuma kasih arah singkat ramah kasar"
"Polisi dateng pas ada warga ribut, cuma mediasi sebentar lalu pergi. Entah selesai atau nggak masalahnya","netral","polisi dateng pas warga ribut cuma mediasi bentar lalu pergi entah selesai masalah"
"Ada mobil patroli berhenti lama di dekat warung, saya kira ada apa, tapi ternyata cuma istirahat","netral","mobil patroli henti lama dekat warung kira apa nyata cuma istirahat"
"Saya datang ke kantor polisi buat urus kehilangan HP. Prosesnya jelas, tapi agak lama","netral","datang kantor polisi buat urus hilang hp proses jelas lama"
"Beberapa polisi terlihat bantu di pos vaksinasi, kerja bareng dengan nakes. Oke juga sih","netral","beberapa polisi lihat bantu pos vaksinasi kerja bareng nakes oke sih"
"Di daerah saya, polisi sering keliling naik motor sambil nyalain sirene kecil. Mungkin buat jaga-jaga aja","netral","daerah polisi sering keliling naik motor nyala sirene kecil mungkin buat jaga aja"
"Kalau lewat jalan tol, sering lihat mobil Patwal jalan di depan rombongan pejabat. Udah biasa","netral","kalau lewat jalan tol sering lihat mobil patwal jalan depan rombong jabat udah biasa"
"Sempat lihat video polisi latihan baris-berbaris di halaman Polsek. Menarik, tapi bukan hal luar biasa","netral","sempat lihat video polisi latih baris baris halaman polsek tarik bukan luar biasa"
"Anak saya pernah ikut lomba mewarnai yang diadakan Polres. Cuma temani aja, saya nggak terlalu perhatikan acaranya","netral","anak pernah ikut lomba warna diada polres cuma teman aja lalu perhati acara"
"Pas perjalanan malam, sempat diberhentikan polisi untuk pengecekan. Semuanya aman, mereka juga nggak lama","netral","pas jalan malam sempat henti polisi kecek semua aman lama"
"Tiap malam tahun baru atau 17-an, polisi pasti jaga. Udah jadi rutinitas tahunan kayaknya","netral","tiap malam tahun baru an polisi jaga udah jadi rutinitas tahun kayak"
"Saya lihat postingan tentang pelatihan polisi untuk tangani kejahatan siber. Menarik, tapi nggak tahu implementasinya","netral","lihat postingan latih polisi tangan jahat sibar tarik beri implementasi"
"Ada razia helm di jalan protokol. Saya lewat aja karena udah pakai lengkap","netral","razia helm jalan protokol lewat aja udah pakai lengkap"
"Tiap Senin pagi di sekolah anak saya ada upacara yang dihadiri polisi. Cuma kasih sambutan singkat","netral","tiap senin pagi sekolah anak upacara hadir polisi cuma kasih sambut singkat"
"Kemarin lihat polisi ikut gotong royong bersih lingkungan. Nggak tahu inisiatif sendiri atau undangan warga","netral","kemarin lihat polisi ikut gotong royong bersih lingkung beri inisiatif sendiri undang warga"
"Waktu SIM saya hilang, disuruh buat baru. Prosesnya biasa aja, sesuai prosedur","netral","waktu sim hilang suruh buat baru proses biasa aja suai prosedur"
"Pernah tanya info di kantor polisi soal tilang elektronik. Dijawab singkat, tapi cukup jelas","netral","pernah tanya info kantor polisi soal tilang elektronik jawab singkat cukup jelas"
"Saya sempat ikut pelatihan lalu lintas di kampus bareng Satlantas. Informasinya berguna, tapi acaranya formal banget","netral","sempat ikut latih lalu lintas kampus bareng satlantas informasi guna acara formal banget"
"Ada himbauan dari polisi lewat toa keliling waktu musim hujan. Isi pesannya standar, soal waspada banjir","netral","himbau polisi lewat toa keliling waktu musim hujan isi pesan standar soal waspada banjir"
"Beberapa polisi suka jaga di acara nikahan warga kalau undangannya ramai. Biasa untuk bantu pengamanan","netral","beberapa polisi suka jaga acara nikah warga kalau undang ramai biasa bantu aman"
"Dapat surat tilang lewat pos karena E-TLE. Prosesnya saya ikutin, ya sesuai prosedur aja","netral","surat tilang lewat pos tle proses ikut suai prosedur aja"
"Lihat polisi atur lalu lintas waktu hujan deras. Mereka tetap berdiri, ya memang tugasnya","netral","lihat polisi atur lalu lintas waktu hujan deras tetap diri memang tugas"
"Ada polisi yang bantu nyebrangin anak-anak sekolah setiap pagi. Sangat perhatian dan konsisten","positif","polisi bantu nyebrangin anak sekolah pagi sangat perhati konsisten"
"Saat listrik padam di daerah kami, polisi langsung patroli keliling untuk jaga keamanan. Responsif sekali","positif","listrik padam daerah polisi langsung patroli keliling jaga aman responsif kali"
"Pengalaman saya urus laporan kehilangan sangat cepat dan mudah. Petugasnya profesional dan membantu","positif","alam urus lapor hilang sangat cepat mudah tugas profesional bantu"
"Program edukasi anti-narkoba di sekolah sangat membantu anak-anak memahami bahaya narkoba dari usia dini","positif","program edukasi anti menarkoba sekolah sangat bantu anak paham bahaya menarkoba usia dini"
"Saya salut dengan polisi yang ikut bersih-bersih lingkungan bareng warga waktu got mampet. Merakyat banget","positif","salut polisi ikut bersih lingkung bareng warga waktu got mampet rakyat banget"
"Polisi di tempat wisata sabar banget ngatur pengunjung dan lalu lintas. Walau ramai tetap senyum dan sigap","positif","polisi tempat wisata sabar banget atur kunjung lalu lintas ramai tetap senyum sigap"
"Waktu ada motor saya dicuri, saya dibantu proses pelaporan dengan baik dan tidak dipersulit","positif","waktu motor curi bantu proses lapor baik sulit"
"Kegiatan Jumat Berkah dari polisi di kota saya sangat menyentuh. Mereka bagi makanan ke masyarakat yang membutuhkan","positif","giat jumat berkah polisi kota sangat sentuh makan masyarakat butuh"
"Saya pernah lihat polisi turun langsung bantu warga korban kebakaran. Bukan hanya jaga, tapi ikut angkat-angkat barang juga","positif","pernah lihat polisi turun langsung bantu warga korban bakar bukan jaga ikut angkat barang"
"Saat ada tawuran pelajar, polisi datang cepat dan bisa menenangkan situasi tanpa kekerasan","positif","tawur ajar polisi datang cepat tenang situasi keras"
"Polisi lalu lintas sangat membantu waktu ada kecelakaan di depan kantor saya. Mereka sigap bantu korban dan atur arus kendaraan","positif","polisi lalu lintas sangat bantu waktu celaka depan kantor sigap bantu korban atur arus kendara"
"Anak saya sempat trauma lihat kecelakaan, tapi polisi yang menangani sangat sabar menjelaskan dan menenangkan anak saya","positif","anak sempat trauma lihat celaka polisi tangan sangat sabar jelas tenang anak"
"Saya pernah dibantu polisi waktu banjir, mereka bantu evakuasi nenek saya yang sudah lansia","positif","pernah bantu polisi waktu banjir bantu evakuasi nenek lansia"
"Program patroli sahur saat Ramadan sangat positif. Bikin lingkungan jadi lebih aman dan semarak","positif","program patroli sahur ramadan sangat positif bikin lingkung jadi lebih aman marak"
"Di medsos, beberapa akun resmi Polri aktif menanggapi keluhan warga dengan cepat dan ramah. Salut","positif","memedsos beberapa akun resmi polri aktif tanggap keluh warga cepat ramah salut"
"Polisi goblokk!!","negatif","polisi goblokk"
"Proses pelaporan di kantor polisi terlalu lama dan berbelit-belit. Padahal kasusnya sederhana","negatif","proses lapor kantor polisi lalu lama belit belit padahal kasus sederhana"
"Pernah lihat polisi malah asyik main HP saat jaga di perempatan jalan. Nggak profesional","negatif","pernah lihat polisi malah asyik main hp jaga empat jalan profesional"
"Saya ditilang karena lupa bawa STNK, tapi disuruh bayar di tempat. Harusnya bisa lebih transparan dong","negatif","tilang lupa bawa stnk suruh bayar tempat harus lebih transparan dong"
"Pelayanan kurang ramah. Baru tanya arah saja sudah dibentak","negatif","layan kurang ramah baru tanya arah bentak"
"Ada kasus pencurian di kampung saya, sudah dilapor tapi nggak ditindaklanjuti sampai sekarang","negatif","kasus curi kampung lapor tindaklanjut sekarang"
"Kadang razia terkesan pilih-pilih kendaraan. Yang bagus lewat, yang butut diberhentiin","negatif","kadang razia kesan pilih kendara bagus lewat butut henti"
"Ada polisi yang suka mondar-mandir di wilayah saya tapi nggak pernah tegur pelanggar lalu lintas. Cuma lewat aja","negatif","polisi suka pondar mandir wilayah pernah tegur langgar lalu lintas cuma lewat aja"
"Penanganan kasus sering lambat kecuali kalau viral. Terasa ada standar ganda","negatif","tangan kasus sering lambat kalau viral rasa standar ganda"
"Masih ada pungli waktu ngurus surat kehilangan. Katanya ‘uang rokok’","negatif","pungli waktu urus surat hilang kata uang rokok"
"Polisi di daerah saya jarang patroli malam, padahal rawan begal","negatif","polisi daerah jarang patroli malam padahal rawan begal"
"Dulu pernah lapor soal KDRT tetangga, tapi polisi minta damai aja tanpa proses hukum","negatif","dulu pernah lapor soal kdrt tetangga polisi minta damai aja proses hukum"
"Kalau warga biasa melanggar, langsung ditindak. Tapi kalau pejabat, bisa ‘damai’","negatif","kalau warga biasa langgar langsung tindak kalau jabat damai"
"Sering lihat video di medsos soal tindakan represif saat unjuk rasa. Kurang humanis","negatif","sering lihat video memedsos soal tindak represif unjuk rasa kurang humanis"
"Saya ngerasa takut duluan kalau lihat polisi, padahal saya nggak salah. Harusnya bikin nyaman, bukan takut","negatif","rasa takut dulu kalau lihat polisi padahal salah harus bikin nyaman bukan takut"
"Saya pernah terlibat kecelakaan ringan, polisi datang dengan cepat, membantu mediasi, dan menyarankan solusi yang adil","positif","pernah libat celaka ringan polisi datang cepat bantu mediasi saran solusi adil"
"Setiap kali ada kegiatan besar seperti pasar malam atau konser, polisi selalu hadir untuk memastikan keamanan. Sangat menjaga kenyamanan masyarakat","positif","kali giat besar pasar malam konser polisi selalu hadir pasti aman sangat jaga nyaman masyarakat"
"Program polisi peduli lingkungan yang rutin dilakukan di desa kami sangat membantu, mengingatkan warga untuk menjaga kebersihan","positif","program polisi peduli lingkung rutin laku desa sangat bantu ingat warga jaga bersih"
"Saya lihat polisi di jalan raya memberi bantuan pada pengendara motor yang mogok. Mereka tidak hanya menegakkan aturan, tapi juga peduli","positif","lihat polisi jalan raya beri bantu kendara motor mogok tegak atur peduli"
"Pelayanan SIM di Polres saya sangat baik, prosesnya cepat dan tidak berbelit-belit. Semua jelas dan petugasnya ramah","positif","layan sim polres sangat baik proses cepat belit belit semua jelas tugas ramah"
"Di daerah saya, polisi sering mengadakan acara olahraga bareng masyarakat. Ini membuat mereka lebih dekat dengan warga","positif","daerah polisi sering ada acara olahraga bareng masyarakat buat lebih dekat warga"
"Saya merasa lebih aman karena polisi selalu patroli rutin di sekitar lingkungan rumah saya. Mereka aktif, bukan hanya duduk di pos","positif","rasa lebih aman polisi selalu patroli rutin lingkung rumah aktif bukan duduk pos"
"Polisi juga terlibat langsung dalam program vaksinasi di daerah saya. Mereka bekerja sama dengan tenaga medis untuk mempercepat prosesnya","positif","polisi libat langsung program vaksinasi daerah kerja sama tenaga medis cepat proses"
"Setiap kali ada laporan gangguan keamanan, polisi selalu merespons dengan cepat. Mereka tidak pernah mengabaikan laporan","positif","kali lapor ganggu aman polisi selalu respons cepat pernah abai lapor"
"Saya pernah terjebak di kemacetan karena kecelakaan, tapi polisi sigap atur lalu lintas dan membuat situasi lebih teratur","positif","pernah jebak macet celaka polisi sigap atur lalu lintas buat situasi lebih atur"
"Waktu ada kebakaran kecil di daerah saya, polisi tidak hanya datang untuk membantu pengamanan, tapi juga bantu pendistribusian air","positif","waktu bakar kecil daerah polisi datang bantu aman bantu distribusi air"
"Saya lihat polisi ikut mengatur lalu lintas dengan sabar, meskipun hujan deras. Mereka tidak pernah terlihat lelah","positif","lihat polisi ikut atur lalu lintas sabar meski hujan deras pernah lihat lelah"
"Polisi sering mengadakan kegiatan sosial seperti donor darah. Itu menunjukkan mereka peduli dengan masyarakat","positif","polisi sering ada giat sosial donor darah tunjuk peduli masyarakat"
